gene_ctype,gene_name,cell_type,c_type_num,gene_num
ABHD14A_Age-associated B cells,ABHD14A,Age-associated B cells,2,37
ABHD14A_CD16+ NK cells,ABHD14A,CD16+ NK cells,18,37
ABHD14A_CD16- NK cells,ABHD14A,CD16- NK cells,17,37
ABHD14A_Classical monocytes,ABHD14A,Classical monocytes,5,37
ABHD14A_DC2,ABHD14A,DC2,7,37
ABHD14A_MAIT cells,ABHD14A,MAIT cells,15,37
ABHD14A_Memory B cells,ABHD14A,Memory B cells,1,37
ABHD14A_NK cells,ABHD14A,NK cells,16,37
ABHD14A_Naive B cells,ABHD14A,Naive B cells,0,37
ABHD14A_Non-classical monocytes,ABHD14A,Non-classical monocytes,6,37
ABHD14A_Plasma cells,ABHD14A,Plasma cells,4,37
ABHD14A_Plasmablasts,ABHD14A,Plasmablasts,3,37
ABHD14A_Regulatory T cells,ABHD14A,Regulatory T cells,11,37
ABHD14A_Tcm/Naive cytotoxic T cells,ABHD14A,Tcm/Naive cytotoxic T cells,13,37
ABHD14A_Tcm/Naive helper T cells,ABHD14A,Tcm/Naive helper T cells,9,37
ABHD14A_Tem/Effector helper T cells,ABHD14A,Tem/Effector helper T cells,10,37
ABHD14A_Tem/Temra cytotoxic T cells,ABHD14A,Tem/Temra cytotoxic T cells,12,37
ABHD14A_Tem/Trm cytotoxic T cells,ABHD14A,Tem/Trm cytotoxic T cells,14,37
ABHD14A_pDC,ABHD14A,pDC,8,37
ADAMTS20_Age-associated B cells,ADAMTS20,Age-associated B cells,2,22
ADAMTS20_CD16+ NK cells,ADAMTS20,CD16+ NK cells,18,22
ADAMTS20_CD16- NK cells,ADAMTS20,CD16- NK cells,17,22
ADAMTS20_Classical monocytes,ADAMTS20,Classical monocytes,5,22
ADAMTS20_DC2,ADAMTS20,DC2,7,22
ADAMTS20_MAIT cells,ADAMTS20,MAIT cells,15,22
ADAMTS20_Memory B cells,ADAMTS20,Memory B cells,1,22
ADAMTS20_NK cells,ADAMTS20,NK cells,16,22
ADAMTS20_Naive B cells,ADAMTS20,Naive B cells,0,22
ADAMTS20_Non-classical monocytes,ADAMTS20,Non-classical monocytes,6,22
ADAMTS20_Plasma cells,ADAMTS20,Plasma cells,4,22
ADAMTS20_Plasmablasts,ADAMTS20,Plasmablasts,3,22
ADAMTS20_Regulatory T cells,ADAMTS20,Regulatory T cells,11,22
ADAMTS20_Tcm/Naive cytotoxic T cells,ADAMTS20,Tcm/Naive cytotoxic T cells,13,22
ADAMTS20_Tcm/Naive helper T cells,ADAMTS20,Tcm/Naive helper T cells,9,22
ADAMTS20_Tem/Effector helper T cells,ADAMTS20,Tem/Effector helper T cells,10,22
ADAMTS20_Tem/Temra cytotoxic T cells,ADAMTS20,Tem/Temra cytotoxic T cells,12,22
ADAMTS20_Tem/Trm cytotoxic T cells,ADAMTS20,Tem/Trm cytotoxic T cells,14,22
ADAMTS20_pDC,ADAMTS20,pDC,8,22
ADAT2_Age-associated B cells,ADAT2,Age-associated B cells,2,9
